"LineId","Aggression","Category","Genotype"
"line_513",34.3696,"MEDIUM","2"
"line_517",16.9216,"LOW","2"
"line_528",18.7116,"LOW","0"
"line_530",45.1196,"MEDIUM","0"
"line_531",18.0116,"LOW","0"
"line_535",65.0116,"HIGH","0"
"line_551",12.2116,"LOW","0"
"line_555",19.6216,"LOW","2"
"line_559",13.9116,"LOW","0"
"line_563",37.0116,"MEDIUM","0"
"line_57",106.9116,"HIGH","0"
"line_584",42.9116,"MEDIUM","2"
"line_589",15.3116,"LOW","2"
"line_59",48.5616,"MEDIUM","0"
"line_595",12.3116,"LOW","2"
"line_596",24.5616,"MEDIUM","0"
"line_639",36.7116,"MEDIUM","2"
"line_642",26.8616,"MEDIUM","2"
"line_646",35.3696,"MEDIUM","2"
"line_69",27.0116,"MEDIUM","2"
"line_703",31.2616,"MEDIUM","-"
"line_705",10.4176,"LOW","2"
"line_707",65.0816,"HIGH","0"
"line_712",20.5816,"MEDIUM","2"
"line_714",26.5816,"MEDIUM","2"
"line_716",52.8616,"HIGH","2"
"line_721",42.8116,"MEDIUM","0"
"line_727",13.4116,"LOW","2"
"line_73",22.6616,"MEDIUM","2"
"line_730",16.5318,"LOW","0"
"line_732",38.1816,"MEDIUM","0"
"line_737",23.6616,"MEDIUM","-"
"line_738",32.8116,"MEDIUM","2"
"line_748",44.3616,"MEDIUM","0"
"line_75",33.5116,"MEDIUM","2"
"line_757",26.0616,"MEDIUM","2"
"line_761",44.2116,"MEDIUM","2"
"line_765",43.2116,"MEDIUM","2"
"line_774",52.6216,"HIGH","0"
"line_776",33.7616,"MEDIUM","2"
"line_783",45.9616,"MEDIUM","0"
"line_786",28.5116,"MEDIUM","2"
"line_787",27.8616,"MEDIUM","2"
"line_790",48.0636,"MEDIUM","0"
"line_796",54.4616,"HIGH","0"
"line_799",31.7216,"MEDIUM","0"
"line_801",42.5616,"MEDIUM","2"
"line_802",40.4616,"MEDIUM","-"
"line_804",26.0116,"MEDIUM","0"
"line_805",28.6116,"MEDIUM","2"
"line_808",59.4616,"HIGH","2"
"line_810",33.4116,"MEDIUM","2"
"line_812",28.5816,"MEDIUM","2"
"line_818",57.9116,"HIGH","2"
"line_819",51.7116,"HIGH","0"
"line_820",50.3136,"HIGH","0"
"line_821",13.8316,"LOW","2"
"line_822",73.0116,"HIGH","0"
"line_83",14.5616,"LOW","2"
"line_832",17.4116,"LOW","0"
"line_837",44.0816,"MEDIUM","2"
"line_843",28.0116,"MEDIUM","2"
"line_849",44.7616,"MEDIUM","2"
"line_85",31.0116,"MEDIUM","0"
"line_850",17.6616,"LOW","0"
"line_852",66.0816,"HIGH","0"
"line_853",34.1116,"MEDIUM","-"
"line_855",11.6616,"LOW","2"
"line_857",24.6616,"MEDIUM","0"
"line_859",18.7536,"LOW","0"
"line_861",24.0616,"MEDIUM","2"
"line_879",35.7616,"MEDIUM","2"
"line_88",28.4616,"MEDIUM","2"
"line_882",25.2516,"MEDIUM","2"
"line_884",19.2116,"LOW","2"
"line_887",24.8616,"MEDIUM","2"
"line_890",28.5316,"MEDIUM","0"
"line_892",29.8616,"MEDIUM","2"
"line_894",57.1116,"HIGH","2"
"line_897",61.8816,"HIGH","0"
"line_900",31.6316,"MEDIUM","-"
"line_907",18.7616,"LOW","2"
"line_908",36.7116,"MEDIUM","2"
"line_91",25.3616,"MEDIUM","2"
"line_911",16.5116,"LOW","2"
"line_913",55.1616,"HIGH","0"
"line_93",24.6616,"MEDIUM","2"
